rows,alloc_time_ns,put_time_ns,run_time_ns,run_time_2_ns,get_output_time_ns,total_time_ns
1,102,35264,50089,49949,35830,171234
1,100,35010,51309,53372,36263,176054
1,102,42004,62043,48826,34130,187105
1,102,34709,69359,49852,35257,189279
1,103,33686,47801,50583,38832,171005
1,105,36038,52192,50453,38689,177477
1,99,32975,50412,48884,34179,166549
1,103,37021,49787,51671,32698,171280
1,100,34674,50086,49258,35886,170004
1,101,34922,49200,51207,34740,170170
1,101,33389,51094,51859,36523,172966
1,99,32297,48241,48164,32869,161670
1,98,31627,45824,51709,37342,166600
1,100,32139,49191,48720,35239,165389
1,98,35154,49256,47986,37333,169827
1,99,34093,51966,49831,37372,173361
1,99,36497,51938,50982,35860,175376
1,102,37322,52084,53563,41350,184421
1,117,35372,63828,53860,45218,198395
1,99,33748,50062,52054,35780,171743
1,100,36845,54169,53649,39561,184324
1,100,36759,49206,53965,35507,175537
1,102,32418,49939,50392,36069,168920
1,100,35997,47066,51190,37124,171477
1,100,33351,54574,76623,33980,198628
1,101,36443,75174,48916,40245,200879
1,102,32257,48875,50570,35157,166961
1,103,34685,48424,49113,33305,165630
1,102,34373,51369,53275,35365,174484
1,102,35920,51337,50130,40797,178286
1,100,34850,51540,51831,37030,175351
1,99,35310,48900,49885,34047,168241
1,98,33258,46826,48569,33974,162725
1,100,33468,47682,49578,34909,165737
1,103,33020,49364,47755,33047,163289
1,102,35492,51358,50883,34936,172771
1,104,31767,49138,53508,34458,168975
1,98,33234,50117,50965,32762,167176
1,99,34703,47287,48108,35268,165465
1,99,35069,48423,51360,44945,179896
1,101,32464,49033,49072,35643,166313
1,102,33030,60876,57708,34182,185898
1,101,34048,49549,49021,33808,166527
1,100,33229,48459,47454,33172,162414
1,99,33760,48659,52516,32167,167201
1,99,33136,46316,49529,35185,164265
1,99,32804,61143,75318,51007,220371
1,100,32693,47702,46256,32965,159716
1,94,33433,48293,48475,37715,168010
1,101,33259,48941,49955,35025,167281
1,103,32645,48393,47634,38972,167747
1,103,34511,47899,49063,35487,167063
